T1	国家标准 55 64	献血者健康检查要求
T2	献血核查登记 1421 1425	告知义务
T3	献血核查登记 1428 1467	血站工作人员应在献血前对献血者履行书面告知义务,并取得献血者签字的知情同意书。
T4	指导意见 1488 1596	无偿献血是出于利他主义的动机，目的是帮助需要输血的患者。请不要为化验而献血。国家提供艾滋病免费咨询和艾滋病病毒抗体免费检测服务，如有需要，请与当地疾病预防控制中心联系（联系电话可查询全国公共卫生公益热线12320）。
T5	风险知识 1614 1691	不安全的血液会危害患者的生命与健康。具有高危行为的献血者不应献血，如静脉药瘾史、男男性行为或具有经血传播疾病（艾滋病、丙型肝炎、乙型肝炎、梅毒等）风险的。
T6	风险知识 1713 1749	献血者捐献具有传染性的血液会给受血者带来危险，应承担对受血者的道德责任。
T7	风险知识 1751 1840	根据《中华人民共和国传染病防治法》第77条、《艾滋病防治条例》第38条和第62条规定，高危献血者故意献血，造成传染病使播、流行的，依法承担民事责任;构成犯罪的，依法追究刑事责任。
T8	指导意见 1428 1467	血站工作人员应在献血前对献血者履行书面告知义务,并取得献血者签字的知情同意书。
T9	献血者健康征询 1488 1596	无偿献血是出于利他主义的动机，目的是帮助需要输血的患者。请不要为化验而献血。国家提供艾滋病免费咨询和艾滋病病毒抗体免费检测服务，如有需要，请与当地疾病预防控制中心联系（联系电话可查询全国公共卫生公益热线12320）。
T10	指导意见 1853 1920	根据《血站管理力法》规定，献血者在献而前应出示真实有效的身份证件，血站应进行核对并登记。冒用他人身份献血的，应按照相关法律规定承担责任
T11	献血核查登记 1853 1920	根据《血站管理力法》规定，献血者在献而前应出示真实有效的身份证件，血站应进行核对并登记。冒用他人身份献血的，应按照相关法律规定承担责任
T12	指导意见 1938 1979	献血者如果认为捐献的血液可能存在安全隐患，应当尽快告知血站。血站应当提供联系电话。
T13	献血者采后管理 1938 1979	献血者如果认为捐献的血液可能存在安全隐患，应当尽快告知血站。血站应当提供联系电话。
T14	风险知识 1992 2111	绝大多数情况下，献血是安全的，但个别人偶尔可能出现如头晕、出冷汗、穿刺部位青紫、血肿、疼痛等不适，极个别可交为严重的鲜血反应，如晕厥。巨萃厥。医务人员应当对献血反应及时进行处置，献血者应遵照献血前和献血后注意事项，以减低成血反应的发生概率
T15	献血者健康征询 2118 2125	健康征询与检查
T16	献血者健康征询 2126 2217	根据《中华人民你共和国献血法》的规定，须对献血者进行健康征询与一般检查，献血者应该如实填写健康状况征询表。不真实填写者，因所献血液引发受血者发生不良后果，应按照相关法律规定承担责任。
T17	指导意见 2126 2217	根据《中华人民你共和国献血法》的规定，须对献血者进行健康征询与一般检查，献血者应该如实填写健康状况征询表。不真实填写者，因所献血液引发受血者发生不良后果，应按照相关法律规定承担责任。
T18	指导意见 2229 2328	血站将遵照国家规定对献血者血液进行经血传播疾病的检测，检测合格的血液将用于临床，不合格血液将按照国家规定处置。血液检测结果不合格仅表明捐献的血液不符合国家血液标准的要求，不作为感染或疾病的诊断依据。
T19	血液检测 2229 2328	血站将遵照国家规定对献血者血液进行经血传播疾病的检测，检测合格的血液将用于临床，不合格血液将按照国家规定处置。血液检测结果不合格仅表明捐献的血液不符合国家血液标准的要求，不作为感染或疾病的诊断依据。
T20	血液检测 2223 2227	血液检测
T21	指导意见 2341 2402	根据《中华人民共和国传染病防治法》等相关规定，血站将向当地疾病预防控制中心报告艾滋病病毒感染等检测阳性的结果及其个人资料。
T22	指导意见 2414 2442	献血者应认真阅读有关知情同意的资料，并签字表示知情同意。
T23	操作流程 2444 2451	献血者健康征询
T24	献血者健康征询 2455 2470	献血者有下列情况之一者不能献血
T25	献血者健康征询 2444 2451	献血者健康征询
T26	指导意见 2455 2470	献血者有下列情况之一者不能献血
T27	献血者健康征询 2476 2520	呼吸系统疾病患者，如包括慢性支气管炎、支气管扩张、支气管哮喘、肺气肿，以及肺功能不全等。
T28	献血者健康征询 2526 2568	循环系统疾病患者,如各种心脏病、高血压病、低血压、四肢动脉粥样硬化、血栓性静脉炎等。
T29	献血者健康征询 2574 2630	消化系统疾病患者，如慢性胃肠炎、活动期的或经治疗反复发作的胃及十二指肠溃疡、慢性胰腺炎、非特异性溃疡性结肠炎等。
T30	献血者健康征询 2636 2687	泌尿系统疾病患者，如急慢性肾小球肾炎、慢性肾盂肾炎、肾病综合征、慢性泌尿道感染以及急慢性肾功能不全等。
T31	献血者健康征询 2693 2760	血液系统疾病患者，如贫血（缺铁性贫血、巨幼红细胞贫血治愈者除外）、真性红细胞增多症、粒细胞缺乏症、白血病、淋巴瘤及各种出、凝血性疾病。
T32	献血者健康征询 2766 2818	内分泌系统疾病及代谢障碍疾病患者，如脑垂体及肾上腺疾病、甲状腺功能性疾病、糖尿病、肢端肥大症、尿崩症等。
T33	献血者健康征询 2824 2864	免疫系统疾病患者，如系统性红斑狼疮、皮肌炎、硬皮病、类风湿性关节炎、大动脉炎等。
T34	献血者健康征询 2870 2916	慢性皮肤病患者,特别是传染性、过敏性及炎症性全身皮肤病,如黄癣、广泛性湿疹及全身性牛皮癣等。
T35	献血者健康征询 2922 2976	过敏性疾病及反复发作过敏患者，如经常性尊麻疹等、支气管哮喘、药物过敏等。单纯性尊麻疹不在急性发作期间可献血。
T36	献血者健康征询 2983 3028	神经系统疾病患者，如脑血管病、脑炎、脑外伤后遗症、癫痫等，以及有惊厥病史或反复晕厥发作者。
T37	献血者健康征询 3035 3061	精神疾病患者，如抑郁症、躁狂症、精神分裂症、癒病等。
T38	献血者健康征询 3068 3149	克-雅（Creutzfeldt-Jakob）病患者及有家族病史者，或接受可能是来源于克-雅病原体感染的组织或组织衍生物（如硬脑膜、角膜、人垂体生长激素等）治疗者。
T39	献血者健康征询 3156 3175	各种恶性肿瘤及影响健康的良性肿瘤患者。
T40	献血者健康征询 3182 3283	传染性疾病患者，如病毒性肝炎患者及感染者。获得性免疫缺陷综合征（AIDS,艾滋病）患者及人类免疫缺陷病毒（HIV）感染者。麻风病及性传播疾病患者及感染者，如梅毒患者、梅毒螺旋体感染者、淋病、尖锐湿疣等。
T41	献血者健康征询 3290 3317	各种结核病患者，如肺结核、肾结核、淋巴结核及骨结核等。
T42	献血者健康征询 3324 3376	寄生虫及地方病患者，如血吸虫病、丝虫病、钩虫病、肺吸虫病、囊虫病、肝吸虫病、黑热病及克山病和大骨节病等。
T43	献血者健康征询 3383 3424	某些职业病患者,如放射性疾病、尘肺、矽肺及有害气体、有毒物质所致的急、慢性中毒等。
T44	献血者健康征询 3431 3539	某些药物使用者,如长期使用肾上腺皮质激素、免疫抑制剂、镇静催眠、精神类药物治疗的患者;既往或现有药物依赖、酒精依赖或药物滥用者，包括吸食、服食或经静脉、肌肉、皮下注射等途径使用类固醇、激素、镇静催眠或麻醉类药物者等。
T45	献血者健康征询 3546 3581	易感染经血传播疾病的高危人群，如有吸毒史、男男性行为和多个性伴侣者等。
