T1	行业标准 87 106	献血相关血管迷走神经反应预防和处置指南
T2	血源管理岗 987 999	DRVR 易发人群的识别
T3	风险知识 987 999	DRVR 易发人群的识别
T4	血液采集 987 999	DRVR 易发人群的识别
T5	风险知识 1006 1020	DRVR 易发人群和诱发因素
T6	血液采集 1006 1020	DRVR 易发人群和诱发因素
T7	血源管理岗 1006 1020	DRVR 易发人群和诱发因素
T8	风险知识 1029 1033	易发人群
T9	血液采集 1029 1033	易发人群
T10	血源管理岗 1029 1033	易发人群
T11	风险知识 1037 1072	具有以下特征，尤其是同时具有以下2种或以上特征的人群较易发生DRVR：
T12	风险知识 1074 1101	a)年轻（年龄＜23 周岁，特别是年龄＜20 周岁）；
T13	风险知识 1103 1108	b)女性；
T14	风险知识 1110 1117	c)初次献血；
T15	风险知识 1119 1134	d)血容量＜3 300 mL；
T16	风险知识 1136 1171	e)具有某些心理或生理特质，如献血恐惧或焦虑、直立性低血压、晕厥史等。
T17	风险知识 1180 1184	诱发因素
T18	风险知识 1188 1206	以下情形容易诱发献血者出现DRVR：
T19	风险知识 1208 1244	a)体位改变（从卧位变为坐位或立位，从蹲位或坐位变为立位）或长时间站立；
T20	风险知识 1246 1268	b)情绪紧张、焦虑或恐惧（例如：初次献血）；
T21	风险知识 1270 1295	c)空腹、疲劳、饮酒、睡眠不足、长时间未补充水分；
T22	风险知识 1297 1316	d)使用具有血管扩张或利尿作用的药物；
T23	风险知识 1318 1384	e)过热环境（例如：热水淋浴和泡热水澡）或环境温度突然变高（例如：在夏季献血者从使用空调的室内献血场所走到室外炎热环境）或环境闷热；
T24	风险知识 1386 1430	f)疼痛或不适的刺激（如静脉穿刺尤其是静脉穿刺不顺利时或者看到别人发生献血不良反应时）；
T25	风险知识 1436 1463	g)采血时间过长（例如：全血采集时间＞10 min）。
T26	血液采集 1037 1072	具有以下特征，尤其是同时具有以下2种或以上特征的人群较易发生DRVR：
T27	血液采集 1074 1101	a)年轻（年龄＜23 周岁，特别是年龄＜20 周岁）；
T28	血液采集 1103 1108	b)女性；
T29	血液采集 1110 1117	c)初次献血；
T30	血液采集 1119 1134	d)血容量＜3 300 mL；
T31	血液采集 1136 1171	e)具有某些心理或生理特质，如献血恐惧或焦虑、直立性低血压、晕厥史等。
T32	血液采集 1180 1184	诱发因素
T33	血液采集 1188 1206	以下情形容易诱发献血者出现DRVR：
T34	血液采集 1208 1244	a)体位改变（从卧位变为坐位或立位，从蹲位或坐位变为立位）或长时间站立；
T35	血液采集 1246 1268	b)情绪紧张、焦虑或恐惧（例如：初次献血）；
T36	血液采集 1270 1295	c)空腹、疲劳、饮酒、睡眠不足、长时间未补充水分；
T37	血液采集 1297 1316	d)使用具有血管扩张或利尿作用的药物；
T38	血液采集 1318 1384	e)过热环境（例如：热水淋浴和泡热水澡）或环境温度突然变高（例如：在夏季献血者从使用空调的室内献血场所走到室外炎热环境）或环境闷热；
T39	血液采集 1386 1430	f)疼痛或不适的刺激（如静脉穿刺尤其是静脉穿刺不顺利时或者看到别人发生献血不良反应时）；
T40	血液采集 1436 1463	g)采血时间过长（例如：全血采集时间＞10 min）。
T41	血源管理岗 1037 1072	具有以下特征，尤其是同时具有以下2种或以上特征的人群较易发生DRVR：
T42	血源管理岗 1074 1101	a)年轻（年龄＜23 周岁，特别是年龄＜20 周岁）；
T43	血源管理岗 1103 1108	b)女性；
T44	血源管理岗 1110 1117	c)初次献血；
T45	血源管理岗 1119 1134	d)血容量＜3 300 mL；
T46	血源管理岗 1136 1171	e)具有某些心理或生理特质，如献血恐惧或焦虑、直立性低血压、晕厥史等。
T47	血源管理岗 1180 1184	诱发因素
T48	血源管理岗 1188 1206	以下情形容易诱发献血者出现DRVR：
T49	血源管理岗 1208 1244	a)体位改变（从卧位变为坐位或立位，从蹲位或坐位变为立位）或长时间站立；
T50	血源管理岗 1246 1268	b)情绪紧张、焦虑或恐惧（例如：初次献血）；
T51	血源管理岗 1270 1295	c)空腹、疲劳、饮酒、睡眠不足、长时间未补充水分；
T52	血源管理岗 1297 1316	d)使用具有血管扩张或利尿作用的药物；
T53	血源管理岗 1318 1384	e)过热环境（例如：热水淋浴和泡热水澡）或环境温度突然变高（例如：在夏季献血者从使用空调的室内献血场所走到室外炎热环境）或环境闷热；
T54	血源管理岗 1386 1430	f)疼痛或不适的刺激（如静脉穿刺尤其是静脉穿刺不顺利时或者看到别人发生献血不良反应时）；
T55	血源管理岗 1436 1463	g)采血时间过长（例如：全血采集时间＞10 min）。
T56	指导意见 1470 1479	献血者紧张状态评估
T57	指导意见 1486 1506	将献血者紧张状态列入献血者健康征询内容。
T58	指导意见 1513 1550	通过观察、询问和问卷等方式来评估献血者是否存在害怕甚至恐惧采血的紧张状态。
T59	指导意见 1614 1633	根据献血者紧张程度采取相应的预防措施。
T60	指导意见 1640 1648	献血者血容量估算
T61	指导意见 1655 1687	对于 DRVR 易发人群，将其血容量估算列入献血者健康检查内容。
T62	指导意见 1694 1767	根据献血者体重指数（body mass index，BMI）选择相应的人体血容量估算公式，对献血者血容量做出估算。BMI 的计算方法参见附录 A。
T63	指导意见 1774 1823	对于 BMI＜26 的献血者，建议采用 Nadler 公式对血容量进行估算，具体方法参见附录 B。
T64	指导意见 1830 1877	对于 BMI≥26 的献血者，建议采用Holme 公式对血容量进行估算，具体方法参见附录 B。
T65	指导意见 1882 1891	DRVR 临床表现
T66	指导意见 1895 1917	DRVR的临床表现和分组见WS/T 551。
T67	指导意见 1922 1932	DRVR 预防和处置
T68	指导意见 1939 1944	献血前辅导
T69	指导意见 1951 1968	编制献血辅导材料，其主要内容包括：
T70	指导意见 1972 1979	献血流程简介；
