label,sentence1,sentence2
1,蹲下再站起来会头晕或眼前一片黑可以献血吗,蹲下头晕时贫血吗
1,女性献血者生理期间能否献血,女性献血者生理期间能否献血
1,为什么需要不同的血液成分,不同的血液成分有啥用
1,为什么血液的颜色有差别,为什么每个人的血液颜色看起来不太一样
0,献血会传染疾病吗,一年献一次献血量算多吗
0,体内HIV可完全清除,为什么有的人会晕血
0,采血量不足的血液为何不能输注给患者,为什么献血需核对身份证
0,血液的主要组成成分有哪些,三种输血方式_哪种适合您
0,人体血容量究竟是怎么算出来的,人体内血液总量是多少
0,献血前应做哪些准备,捐献成分血会不会感染疾病
1,我国公民参加献血的年龄规定是多少,献血对年龄有什么规定
0,空腹献血者为什么偶尔可出现低血糖性昏厥,人体哪些器官有贮血功能
0,捐血的时候容易被传染疾病吗,血液流出体外为什么会凝固
1,想献血但勇气不够怎么办,想献血但没有勇气怎么办
1,贮存式自身输血的临床应用哪些,贮存式自身输血的临床应用哪些
0,采血量不足的血液为何不能输注给患者,RhD阴性患者如何输注血小板
0,我害怕献血怎么办,献血会不会感染上疾病
1,献血能降血脂,献血可以使血脂降低吗
1,血站对采集的血液要做怎样的处理,采集的血液是如何处理的
0,人体造血的原料是什么,餐后献血会大大减少献血反应吗
1,全血为什么需要在4±2℃保存,全血为什么需要在4±2℃保存
0,血液的主要组成成分有哪些,HLA与器官移植有什么关系
1,在采集造血干细胞前为什么要对捐献者使用造血干细胞动员,在采集造血干细胞前对捐献者使用造血干细胞动员的理由是什么
1,献血能喝咖啡吗,献血可以喝咖啡吗
0,献血中出现低血糖性昏厥该如何处理,血液流速与哪些因素有关
0,是不是献了一次血后，就必须不停地献血,如果贫血怎么还可以献血吧
1,输血浆也需要血型相同吗,输血浆也需要血型相同吗
0,机采血浆是如何操作的,血液检测后可用和不可用的血液去向
1,怎样配合医生进行输血,怎样配合医生进行输血
1,红细胞为什么有时候需要冻存,红细胞需要冻存的原因是什么
0,白细胞膜上的抗原可分为几类,哪些人不适合献血
1,如果贫血怎么还可以献血吧,如果贫血怎么还可以献血吧
1,人体血容量究竟是怎么算出来的,如何计算人体的血容量
1,献血后身体会发胖吗,献血会让体重增加吗
0,胎儿也有血型吗,Rh阴性患者是否只能使用Rh阴性血
0,有血液恐惧症怎么办,献血后为什么手臂会出现淤血
1,献血后检测不合格是否就表示献血者患有疾病,献血后检测不合格是否就表示献血者患有疾病
0,目前临床输血进展如何,餐后献血会大大减少献血反应吗
0,采血方式有哪几种,贫血到什么程度需输血
1,血型漫画丨难忘的端午节，你们都是怎么包粽子的,难忘的端午节，你们都是怎么包粽子的
0,输血不畅如何处理,血小板的“神奇功效”，您知道几个
0,我害怕献血怎么办,人体急需血液时，自身哪些器官可以供血
0,血小板是否必须同型输注,献血后会贫血吗
1,身体里有多余的血吗,身体里有没用的血吗
0,Rh阴性血与Rh阳性血相比，在采集、制备和储存一样吗,人的血管能有多长
0,哪些情况需要输血,为什么不能输脂肪血
1,为什么献血无偿而用血有偿,为什么献血无偿而用血有偿
0,献血能喝咖啡吗,是不是献了一次血后，就必须不停地献血
0,为什么无偿献血，但输血却要收费,献血影响健康吗
1,健康者在多大年龄适合捐献造血干细胞_标准如何,健康者适合捐献造血干细胞的年龄以及标准
0,人体造血的原料是什么,Rh（－）者如何自我保护
0,为什么献血需核对身份证,献血影响健康吗
1,公民献血应遵守哪些规定,公民献血应遵守哪些规定
0,献血后补充哪种食物才能快速恢复元气,为什么无偿献血，但输血却要收费
0,为什么无偿献血，但输血却要收费,我献出的血液，采供血机构会如何处理
0,献血后会不会头晕,为什么献血使用的针头比一般的粗
1,献血和输血有何不同,献血和输血有何不同
0,献血中出现低血糖性昏厥该如何处理,机采成分血对身体有什么影响吗
0,平常还要体育锻炼怎么办,献血会传染疾病吗
0,晕血？原来是血管迷走神经的过度反应,为什么要实行无偿献血制度
0,空腹献血者为什么偶尔可出现低血糖性昏厥,献血会不会上瘾
0,为什么血压不合格不能献血,成分献血是什么概念
0,为什么说全血并不全,Rh（－）者如何自我保护
1,你还在纠结捐献200毫升还是400毫升么,你还在纠结捐献200毫升还是400毫升么
0,为什么要实行无偿献血制度,人的血管能有多长
1,打疫苗对献血有何影响,打疫苗多久可以献血
0,献血前应该喝糖水还是盐水,输血是治疗贫血最有效的方法吗
1,为什么需要献血,为什么要献血
0,为什么献血使用的针头比一般的粗,为什么要实行无偿献血制度
0,你接种的新冠病毒疫苗是哪种？间隔多久能献血？一文告诉你,献全血好还是血小板好？献血的10个小纠结，一次解决
0,血液的颜色是什么,为什么血压不合格不能献血
0,我献出的血液，采供血机构会如何处理,造血干细胞移植可治疗哪些疾病
0,血压是怎样形成的,献血后会贫血吗
1,献血可以减肥吗,献血能减肥吗
0,如何知道自己已成为捐献造血干细胞志愿者,为什么少数人会发生献血反应
0,血小板的“神奇功效”，您知道几个,如何计算每袋全血的重量
0,如何计算每袋全血的重量,贫血到什么程度需输血
0,每次献血献少点好吗,捐机采成分血和捐献全血有区别吗
1,献血后怎样查询血液检测结果,献血后怎样查询血液检测结果
0,献血可以减肥吗,想献血但勇气不够怎么办
1,为什么需要献血,献血的意义是什么
1,目前临床输血进展如何,目前临床输血进展如何
0,为什么直系亲属之间不宜相互献血,血液流速与哪些因素有关
1,捐献造血干细胞影响身体健康吗,捐献造血干细胞影响身体健康吗
0,献血后多久可以喝酒,大姨妈来了为什么不能献血
0,献血前连豆浆也不能喝,身体里有多余的血吗
1,为什么无偿献血，但输血却要收费,为什么无偿献血，但输血却要收费
0,献血能喝咖啡吗,输过血的人，为什么要1年后才能献血
1,自体输血适合您吗,自体输血是什么
0,捐机采成分血和捐献全血有区别吗,哪些人不适合献血
0,捐献造血干细胞对健康有影响吗,捐献造血干细胞你了解多少
0,国际社会公认的“无偿献血者”的概念是什么,采血时血液流速会影响血液质量吗
0,为什么血压不合格不能献血,我很怕痛，献血会痛吗
1,捐献后的血液需要低温保存吗,捐献后的血液需要低温保存吗
1,Rh（－）者输血供应有保障吗,Rh（－）血液储存够吗
0,采血袋中最常用的抗凝剂是什么,为什么无偿献血，但输血却要收费
0,献血后会不会头晕,献血后如何保护针眼
1,血液检测后可用和不可用的血液去向,血液检测后血液的去向
0,如何知道自己已成为捐献造血干细胞志愿者,输血是 越“新鲜”越好吗
0,献血为何要补充水份,胎儿也有血型吗
0,血型能变吗,为什么血压不合格不能献血
1,平常还要体育锻炼怎么办,平时体育锻炼能献血吗
0,机采血浆是如何操作的,母婴哪些血型会发生新生儿溶血症
0,献血时紧张怎么办,捐血的时候容易被传染疾病吗
1,想献血但勇气不够怎么办,想献血但勇气不够怎么办
0,肝素是如何抗凝的,为什么要控制采血的“量”
0,想献血但勇气不够怎么办,血液的颜色是什么
0,感冒是否可以献血,如何决定输血速度
0,献血中出现低血糖性昏厥该如何处理,为什么直系亲属之间不能相互献血
1,为什么需要献血,为什么需要献血
0,我害怕献血怎么办,为什么说全血并不全
0,献血会不会上瘾,“中国造血干细胞捐献者资料库”的哪些工作是与国际先进水平接轨的
1,献血后为什么手臂会出现淤血,献血后出现淤血怎么办
0,想献血但勇气不够怎么办,献血后如何保护针眼
1,母体与胎儿血相同吗,母体与胎儿的血是否一样
0,Rh是如何遗传的,在采血车内献血，血液质量有保证吗
1,献血者有哪些权利应受保护,献血者有哪些权利
0,献血会影响体力吗,献血后多长时间才能参加运动
1,献血要经过哪些步骤,献血步骤有哪些
1,"“无偿献血,有偿使用?”是这样的吗",为啥献血还要花钱
1,A型血易感新冠肺炎,A型血易感新冠肺炎
0,父母的血型与子女的血型有什么关系,白细胞是怎样排除异己的
0,为什么艾滋病病毒抗体（HIV抗体）阳性不能献血,HLA与输血有什么关系
