text,class,label
"
....................................(F.15.2.1)",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
...............................（F.19.2.3)",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
1?	2）?10?1000??V",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
289mOsm），甘油含量为1%",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
4	血液检测",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
5血液储存、发放与运输",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
??103.5?1000",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
????1",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
???xi",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
??V3",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
??sy.x",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
?y'???yi",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
CHb",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
Hb??CHb?V..................................................(F.6.1)",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
V??m1??m2",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
b??c",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
实际观察一致数总观察例数",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
期望一致数总观察例数",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
；??y'?????yi	",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
"
；?y???yi",['其他'],"[0, 0, 1, 0, 0, 0, 0]"
....................(F.18.1.5),['其他'],"[0, 0, 1, 0, 0, 0, 0]"
..................................(F.16.3),['其他'],"[0, 0, 1, 0, 0, 0, 0]"
....................................(F.18.4.3),['其他'],"[0, 0, 1, 0, 0, 0, 0]"
................................................(F.3.1),['其他'],"[0, 0, 1, 0, 0, 0, 0]"
0.1,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
0.1—体积换算系数。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1	献血者健康检查,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1	献血者健康检查	1,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1 级：肯定相关，支持献血导致不良反应发生的证据确凿，不存在合理的质疑；,['体检医师岗'],"[1, 0, 0, 0, 0, 0, 0]"
1.0510。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.0520。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.1	导则,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.10	知情同意,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.11.1献血者屏蔽。献血者捐献血液的检测结果中，乙肝、丙肝、艾滋病任意一项中血清学检测和核酸检测同时呈反应性，则永久性屏蔽。梅毒血清学检测双试剂呈反应性，则永久性屏蔽。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.11.2献血者关爱。各血站应当制定献血者关爱策略，注意关注单采血小板固定献血者以及相关重点人群的铁蛋白代谢等有关指标。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.11献血者管理,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.2	核对献血者身份及年龄,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.2.1	献血者身份。核对献血者本人相貌与其有效身份证件原件上照片是否一致，核查献血者的年龄是否符合有关要求。有效身份证件包括居民身份证、军（警）官证、士兵证、护照、港澳通行证、台胞证以及驾驶证等。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.2.2	献血者年龄。国家提倡献血年龄为18周岁～55周岁；既往无献血反应、,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.3	登记献血者信息,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.4	询问和查询既往献血史,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.4.1	询问献血者和查询血液管理信息系统有无既往献血史。如献血者曾献血，献血间隔期应符合要求，不处于被暂时或永久屏蔽状态。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.4.2	如献血者献血间隔不符合要求，或处于不适宜献血状态的，应明确告知献血者，或提供相关咨询联系方式。查询及解释时应保护献血者隐私。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.5	献血前告知,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.6	健康征询,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.7	一般检查,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.8	献血前检测,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.8.1	在献血前采集献血者血液标本做检测。在采集血液标本前应核对献血者身份。检测项目包括血红蛋白（Hb），单采血小板献血者还应检测红细胞比容、血小板计数等项目。各地可以根据实际情况以及疾病流行情况，增加ABO血型、丙氨酸氨基转移酶（ALT）等检测项目。记录检测结果和结论并签名。1.8.2	血红蛋白检测可采用硫酸铜目测法、血红蛋白检测仪或血细胞分析仪等进行检测。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.8.3	采用无创式血红蛋白检测的，应对所用仪器进行比对和验证，并定期进行数据核对。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.9	健康检查结论,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.9.1	将献血者健康征询、一般检查以及献血前血液检测的结果进行分析和评价，做出献血者是否符合献血条件的判断并签名。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.9.2	对于单采血小板的献血者，当次采集1个治疗量的，采前血小板计数,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1.9.3	将健康检查结果和结论与献血者沟通。对于需要永久屏蔽的献血者，做好解释工作；对于暂时不适宜献血的，告知不适宜献血的原因和待情形解除后，经健康检查合格可以献血。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1000—体积换算系数。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1000—体积换算系数，1mL＝1000μL；V—成分血体积，单位为mL。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
100mL，配制成1.0mmol/L的亚甲蓝标准浓缩储备液，避光保存。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
10天试验运行的前提下，进行至少20次检测。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
12.0Kpa（90mmHg）≤收缩压＜18.7Kpa（140mmHg）,['数据'],"[0, 0, 0, 1, 0, 0, 0]"
13s：一个质控值超过x??3s。用于提示可能存在随机误差。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
15,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
15—精密量取的血样体积，单位为mL；,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1??Pe,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
1年内输注全血及血液成分者,['体检医师岗'],"[1, 0, 0, 0, 0, 0, 0]"
1）计算出测定结果（至少3次）的平均值（X）和标准差（s）。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2	血液采集,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2	血液采集	4,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2 级：可能相关，证据明显有利于支持不良反应与献血相关；,['体检医师岗'],"[1, 0, 0, 0, 0, 0, 0]"
2.10	静脉穿刺,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.10.1	待消毒剂干后方可进行静脉穿刺。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.10.2采取相应措施（如用止流夹夹住血袋导管）防止空气进入血袋。如使用留样袋血袋，须确认留样袋内无保养液。手持针柄，取下护针帽，按照预先选定的穿刺部位进行穿刺。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.10.3	穿刺路径为自皮肤穿刺点进入，皮下组织前行约0.5～1.0cm，进入静脉腔，前行约0.5～1.0cm。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.10.4	如需第二次穿刺，应当在征得献血者同意后，在另一手臂选择穿刺部位和静脉，更换新的符合质量要求的采血针进行穿刺。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11	血液采集,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.1	全血采集,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.1.1	静脉穿刺成功后，按采血袋厂家说明书操作，如使用带旁路系统的采血袋，要使最先流出的血液用于血液检测。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.1.2	固定针头位置，用敷料保护穿刺点。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.1.3	维持静脉穿刺点与血袋的落差，保持血流通畅。嘱献血者做握拳和松,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.1.4	血液开始流入采血袋后，即将其与抗凝剂轻匀混合。宜采用连续混合,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.1.6	与献血者进行交流，观察献血者面容、表情，及时发现并处置献血不良反应。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2	单采血小板采集,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2.1	静脉穿刺成功后，松开采血针一侧和留样袋一侧止流夹，使最先流出的血液流入留样袋，约15～20ml，用做血液检测标本。夹闭留样袋一侧止流夹，松开血细胞分离机一侧止流夹，将血细胞分离机置于采集模式，使血液进入分离管路开始采集。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2.2	严格按照血细胞分离机的操作要求进行操作，并做好相关记录。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2.3	为缓解血小板采集时抗凝剂给献血者带来的不适，可在静脉穿刺前给予献血者口服钙剂补钙。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2.4采集过程中，应加强与献血者的沟通，尽量详细告知采集流程，并告知采集过程中设备提示音、警示灯、袖带压力等的意义；在进行每一项主要操作之前，与献血者沟通并取得配合。与献血者进行交流，观察献血者面容、表情，及时发现并处置献血不良反应。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2.5	嘱献血者在压脉带加压时手反复做握紧放松动作，必要时给予握力器协助。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2.6	记录献血者在采集过程中的相关数据，如采血量、血液成分分离处理血量、生理盐水及抗凝剂用量等。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2.7	采集完成后，松开压脉带，关闭采血管路上的主流夹后拔针。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.2.8	如遇回输不畅，在征得献血者同意后，可更换新的采集针重新穿刺后,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.3.1静脉穿刺成功后，松开采血针一侧和留样袋一侧止流夹，使最先流出的血液流入留样袋，约15～20ml，用做血液检测标本。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
2.11.3.2严格按照血细胞分离机的操作要求进行操作并做好相关记录。,['其他'],"[0, 0, 1, 0, 0, 0, 0]"
